=== LOG DE EXECUÇÃO DETALHADO - MIPS SIMULATOR ===
Arquivo gerado automaticamente para debug
Arquitetura: 32 bits
Entradas programadas: [3]
============================================================

CICLO   1: PC= 0 | LI GP, 136           | INICIANDO
CICLO 208: PC=30 | MOVE R1, R7          | R1 = R7 = 6 (era 2)
CICLO 209: PC=31 | ADDI SP, FP, 4       | INICIANDO
CICLO 210: PC=31 | ADDI SP, FP, 4       | R29 = R30(249) + 4 = 253 (era 253)
    ESTADO: R1=6, R2=3, R3=1, R6=2, R7=6, R8=3, GP=136, SP=253, FP=249, RA=27

CICLO 211: PC=32 | SUBI R2, SP, 2       | INICIANDO
CICLO 212: PC=32 | SUBI R2, SP, 2       | R2 = R29(253) - 2 = 251 (era 3)
CICLO 213: PC=33 | LW FP, 0(R2)         | INICIANDO
CICLO 214: PC=33 | LW FP, 0(R2)         | R30 = MEM[251] = 253
CICLO 215: PC=34 | SUBI R2, SP, 1       | INICIANDO
CICLO 216: PC=34 | SUBI R2, SP, 1       | R2 = R29(253) - 1 = 252 (era 251)
CICLO 217: PC=35 | LW RA, 0(R2)         | INICIANDO
CICLO 218: PC=35 | LW RA, 0(R2)         | R31 = MEM[252] = 55
CICLO 219: PC=36 | ADDI SP, SP, 8       | INICIANDO
CICLO 220: PC=36 | ADDI SP, SP, 8       | R29 = R29(261) + 8 = 261 (era 253)
    ESTADO: R1=6, R2=252, R3=1, R6=2, R7=6, R8=3, GP=136, SP=261, FP=253, RA=55

CICLO 221: PC=37 | JR RA                | INICIANDO
CICLO 222: PC=55 | JR RA                | Jump to R31 = 55
CICLO 223: PC=55 | MOVE R9, R1          | INICIANDO
CICLO 224: PC=55 | MOVE R9, R1          | R9 = R1 = 6 (era 0)
CICLO 225: PC=56 | MOVE R7, R1          | INICIANDO
CICLO 226: PC=56 | MOVE R7, R1          | R7 = R1 = 6 (era 6)
CICLO 227: PC=57 | OUTPUTREG R9         | INICIANDO
CICLO 228: PC=57 | OUTPUTREG R9         | OUTPUT: 6 (de R9)
CICLO 229: PC=58 | HALT                 | INICIANDO
CICLO 230: PC=58 | HALT                 | PROGRAMA FINALIZADO - Saídas: [3, 6]
    ESTADO: R1=6, R2=252, R3=1, R6=2, R7=6, R8=3, R9=6, GP=136, SP=261, FP=253, RA=55


=== FIM DA EXECUÇÃO ===
Total de ciclos: 230
Saídas geradas: [3, 6]
Resultado final: 6
